pid,name,username,num_ctx_switches,memory_info,cpu_percent,memory_percent,nice,create_time,utime,stime,cutime,cstime
0,kernel_task,root,"pctxsw(voluntary=140320878360355, involuntary=0)","pmem(rss=0, vms=213300862976, pfaults=12109, pageins=107)",0.0,0.0,0,1681319918.09755,0.0,97.895071744,0.0,0.0
1,launchd,root,"pctxsw(voluntary=140320876622882, involuntary=0)","pmem(rss=14278656, vms=34976174080, pfaults=19049, pageins=345)",0.0,0.16622543334960938,0,1681319918.099519,3.622014464,5.34811904,0.0,0.0
90,logd,root,"pctxsw(voluntary=140320876595313, involuntary=0)","pmem(rss=18079744, vms=34594062336, pfaults=16395, pageins=50)",0.0,0.21047592163085938,0,1681319932.491381,1.559709184,1.695796992,0.0,0.0
91,smd,root,"pctxsw(voluntary=140320876528670, involuntary=0)","pmem(rss=2150400, vms=34466537472, pfaults=1513, pageins=9)",0.0,0.025033950805664062,0,1681319932.539786,0.040076704,0.04111026,0.0,0.0
92,UserEventAgent,root,"pctxsw(voluntary=140320876535102, involuntary=0)","pmem(rss=10461184, vms=34500526080, pfaults=5458, pageins=333)",0.0,0.12178421020507812,0,1681319932.601606,0.2765904,0.531795776,0.0,0.0
95,uninstalld,root,"pctxsw(voluntary=140320876528045, involuntary=0)","pmem(rss=1908736, vms=34440769536, pfaults=1184, pageins=5)",0.0,0.022220611572265625,0,1681319932.656209,0.011725065,0.021068236,0.0,0.0
96,fseventsd,root,"pctxsw(voluntary=140320876561814, involuntary=0)","pmem(rss=5607424, vms=34478333952, pfaults=64594, pageins=3)",0.0,0.06527900695800781,0,1681319932.656476,2.57700992,2.041964416,0.0,0.0
97,mediaremoted,root,"pctxsw(voluntary=140320876572621, involuntary=0)","pmem(rss=12034048, vms=34501038080, pfaults=8667, pageins=378)",0.0,0.14009475708007812,0,1681319932.656835,0.341165728,0.615586304,0.0,0.0
98,systemstats,root,"pctxsw(voluntary=140320876530374, involuntary=0)","pmem(rss=7942144, vms=34507710464, pfaults=5159, pageins=119)",0.0,0.09245872497558594,0,1681319932.657326,0.175876896,0.312696672,0.0,0.0
100,configd,root,"pctxsw(voluntary=140320876544446, involuntary=0)","pmem(rss=8396800, vms=34503028736, pfaults=16431, pageins=66)",0.0,0.09775161743164062,0,1681319932.660163,0.594761856,0.782661952,0.0,0.0
101,endpointsecurityd,root,"pctxsw(voluntary=140320876527697, involuntary=0)","pmem(rss=1024000, vms=34457579520, pfaults=943, pageins=5)",0.0,0.011920928955078125,0,1681319932.660842,0.005204142,0.008092511,0.0,0.0
102,powerd,root,"pctxsw(voluntary=140320876555933, involuntary=0)","pmem(rss=7233536, vms=34498351104, pfaults=5580, pageins=251)",0.0,0.08420944213867188,0,1681319932.662295,0.348914528,2.285460224,0.0,0.0
103,biomed,_biome,"pctxsw(voluntary=140320876532571, involuntary=0)","pmem(rss=7905280, vms=34497613824, pfaults=6558, pageins=1695)",0.0,0.09202957153320312,0,1681319932.663774,0.720883648,0.186719824,0.0,0.0
