pid,name,username,cpu_percent,memory_info,memory_percent,nice,num_ctx_switches,create_time,utime,stime,cutime,cstime
0,kernel_task,root,0.0,"pmem(rss=0, vms=213735096320, pfaults=75571, pageins=105)",0.0,0,"pctxsw(voluntary=140333816000915, involuntary=0)",1681143934.097998,0.0,2475.923603456,0.0,0.0
1,launchd,root,0.0,"pmem(rss=14254080, vms=34974027776, pfaults=446353, pageins=127684)",0.1659393310546875,0,"pctxsw(voluntary=140333762714045, involuntary=0)",1681143934.100066,33.152700416,90.61986304,0.0,0.0
90,logd,root,0.0,"pmem(rss=17002496, vms=34616655872, pfaults=722607, pageins=51174)",0.1979351043701172,0,"pctxsw(voluntary=140333762817924, involuntary=0)",1681143947.962158,43.93560064,37.448482816,0.0,0.0
91,smd,root,0.0,"pmem(rss=1572864, vms=34468147200, pfaults=2841, pageins=18)",0.018310546875,0,"pctxsw(voluntary=140333761430570, involuntary=0)",1681143948.013018,0.044097644,0.079681752,0.0,0.0
92,UserEventAgent,root,0.0,"pmem(rss=8093696, vms=34499989504, pfaults=77659, pageins=378)",0.0942230224609375,0,"pctxsw(voluntary=140333762509606, involuntary=0)",1681143948.063319,5.023092736,8.20775936,0.0,0.0
95,uninstalld,root,0.0,"pmem(rss=1814528, vms=34465935360, pfaults=14466, pageins=5)",0.021123886108398438,0,"pctxsw(voluntary=140333761453850, involuntary=0)",1681143948.115534,0.2811024,0.603806912,0.0,0.0
96,fseventsd,root,0.0,"pmem(rss=3555328, vms=34478870528, pfaults=518291, pageins=6)",0.04138946533203125,0,"pctxsw(voluntary=140333762028878, involuntary=0)",1681143948.115808,32.419786752,42.917613568,0.0,0.0
97,mediaremoted,root,0.0,"pmem(rss=10452992, vms=34510094336, pfaults=45433, pageins=1071)",0.1216888427734375,0,"pctxsw(voluntary=140333761550831, involuntary=0)",1681143948.116121,1.145958912,2.046415232,0.0,0.0
98,systemstats,root,0.0,"pmem(rss=5664768, vms=34507685888, pfaults=43457, pageins=251)",0.06594657897949219,0,"pctxsw(voluntary=140333761471263, involuntary=0)",1681143948.11661,1.004494784,4.322598912,0.0,0.0
100,configd,root,0.0,"pmem(rss=5443584, vms=34501955584, pfaults=115880, pageins=86)",0.06337165832519531,0,"pctxsw(voluntary=140333761507319, involuntary=0)",1681143948.119544,2.47284608,3.42039296,0.0,0.0
