pid,name,username,cpu_percent,memory_percent
0,kernel_task,root,,
1,launchd,root,,
90,logd,root,,
91,smd,root,,
92,UserEventAgent,root,,
95,uninstalld,root,,
96,fseventsd,root,,
97,mediaremoted,root,,
98,systemstats,root,,
100,configd,root,,
101,endpointsecurity,root,,
102,powerd,root,,
103,biomed,_biome,,
105,amfid,root,,
107,remoted,root,,
109,keybagd,root,,
110,softwareupdated,_softwareupdate,,
112,watchdogd,root,,
116,mds,root,,
117,iconservicesd,_iconservices,,
118,kernelmanagerd,root,,
119,diskarbitrationd,root,,
122,coreduetd,root,,
123,syslogd,root,,
126,thermalmonitord,root,,
127,opendirectoryd,root,,
128,apsd,root,,
130,launchservicesd,root,,
131,timed,_timed,,
132,usbmuxd,_usbmuxd,,
133,securityd,root,,
134,auditd,root,,
138,autofsd,root,,
139,displaypolicyd,_displaypolicyd,,
140,dasd,root,,
142,distnoted,_distnote,,
143,AppleCredentialM,root,,
145,dirhelper,root,,
146,logind,root,,
147,revisiond,root,,
148,KernelEventAgent,root,,
149,usermanagerd,root,,
151,bluetoothd,root,,
152,notifyd,root,,
153,sandboxd,root,,
154,corebrightnessd,root,,
155,AirPlayXPCHelper,root,,
156,com.apple.cmio.r,root,,
157,WindowServer,root,,
158,tccd,root,,
159,cfprefsd,root,,
166,aslmanager,root,,
167,analyticsd,_analyticsd,,
187,loginwindow,root,0.0,0.44493675231933594
199,lsd,root,,
201,coreservicesd,root,,
202,contextstored,root,,
203,backupd-helper,root,,
204,PowerUIAgent,root,,
213,csnameddatad,root,,
217,runningboardd,root,,
218,trustd,_trustd,,
232,distnoted,root,,
233,syspolicyd,root,,
234,PlugInLibrarySer,root,,
235,coreaudiod,_coreaudiod,,
244,apfsd,root,,
245,nehelper,root,,
249,nsurlsessiond,_nsurlsessiond,,
250,airportd,root,,
251,usbd,root,,
253,trustdFileHelper,root,,
256,distnoted,_coreaudiod,,
257,containermanager,root,,
259,deleted_helper,root,,
261,mobileassetd,root,,
262,awdd,root,,
265,authd,root,,
268,socketfilterfw,root,,
269,symptomsd,_networkd,,
270,findmydeviced,root,,
271,mDNSResponder,_mdnsresponder,,
272,FindMyMacd,root,,
273,sysextd,root,,
274,distnoted,_cmiodalassistants,,
275,mDNSResponderHel,root,,
276,com.apple.CodeSi,root,,
288,diskmanagementd,root,,
289,backupd,root,,
290,wifip2pd,root,,
292,com.apple.audio.,_coreaudiod,,
294,UVCAssistant,_cmiodalassistants,,
295,systemstatusd,root,,
299,AudioComponentRe,root,,
301,softwareupdated,_softwareupdate,,
303,audioclocksyncd,root,,
304,com.apple.geod,_locationd,,
305,distnoted,_locationd,,
306,secinitd,_locationd,,
307,cfprefsd,_locationd,,
308,trustd,_locationd,,
309,distnoted,_softwareupdate,,
310,suhelperd,root,,
311,containermanager,_locationd,,
312,locationd,_locationd,,
313,searchpartyd,root,,
314,cron,root,,
315,distnoted,_nsurlsessiond,,
316,siriinferenced,root,,
318,com.apple.Driver,_driverkit,,
319,thermald,root,,
